id|imsi|imei|cell|lac|event_type|event_ts
8|719398339|67031154154082||76|4|30/12/2020 19:54
9|856150031|98591624192001|1870|15|5|25/12/2020 03:32
10|419999500|45077904630108|2309|31|8|29/12/2020 13:34
11|651502443|30182041661613|8583|88|6|
12|349932947|56872332696514|4487|87|6|08/12/2020 07:22
13|889798900|73574489815827|2794|95|8|01/12/2020 19:25
14|303061908||6781|37|7|11/12/2020 16:30
15|748085639|48921806040508|1250|99|5|31/12/2020 12:59
16|248541071|66564579936064|5469|84|6|31/12/2020 18:32
17|336539526|29651938322281|9089|12|2|18/12/2020 01:05
18|968476578|49084526315007|1433|47|7|07/12/2020 21:12
19|806478272|81747335545519|3652|35|9|17/12/2020 07:32
20|865268815|59610400453192|3770|76|9|27/12/2020 18:59
21|919106573|45733001204328|7222|25|7|12/12/2020 13:34
22||68547344166825|8990|92|2|19/12/2020 21:50
23|835424796|62162024888469|7274|70|2|30/12/2020 17:47
24|222893094|17771944686777|1562|66|6|01/12/2020 22:41
25|461051324|40606919916129|7752|19|4|03/12/2020 16:15
26|720757084|25013697194348|8077|17|4|08/12/2020 06:46
27|236344683|49328828635988|6338|45|6|29/12/2020 09:22
28|784945175||9400|76|8|02/12/2020 14:52
29|119542887|82869466945041|1531|59|1|14/12/2020 19:51
30|849972555|50727670795124|9096|46|2|13/12/2020 04:35
31|792091065|35019495356999|8857|12|8|31/12/2020 00:52
32|402356311|23473130966260|7247|80|7|06/12/2020 21:21
33|808330913|62498455695850|7971|61|7|07/12/2020 15:34
34|921886125|78819153626644|4713|92|4|09/12/2020 03:00
35|921426521|70561090984039||22|6|24/12/2020 04:33
36|159924061|39237950374243|8606|18|7|18/12/2020 22:05
37|514676156|35997378259192|6775|60|1|31/12/2020 19:49
38|566448012|68076678871904|1446|17|7|14/12/2020 11:16
39|567472375|92654247804621|9235|95||09/12/2020 02:27
40|119413909|28073361766358|8864|37|8|04/12/2020 14:15
41|466712790|91034415284135|1631|80|1|30/12/2020 22:27
42|693147941|78473299727319|4372|91|1|11/12/2020 21:14
43|768815301|23379379047657|4594|26|2|29/12/2020 18:58
44|276929095|72716034970648|3682|57|6|25/12/2020 16:21
45|449614696|44222125317988|9239|71|4|20/12/2020 18:03
46|438716128|35235874504853|7910|19|4|
47|727686449|55135179592174|7214|46|2|21/12/2020 17:26
48|783703377|54804787586106|3375|12|8|10/12/2020 06:15
49|777300323|44177802151493||75|7|17/12/2020 22:44
50|493189192|56635785123699|8494|92|4|30/12/2020 11:15
51|194592422|24178634182075|5274|14|8|24/12/2020 18:09
52|125049526|71066023486919|5283|11|2|04/12/2020 13:19
53||20517647421252|5050|79|4|03/12/2020 13:55
54|972985395|57872778168849|2889|14|6|
55|726862216|96787635286061|7826|19|2|22/12/2020 06:52
56|698885889|70907196243501|8509|34|2|03/12/2020 17:58
57|656592678|96074142237694|3803|29|5|28/12/2020 18:09
58|738433789||3912|74|6|07/12/2020 08:08
59|568311040|47532387704499|1571|12|3|05/12/2020 20:57
60|185289617|16520390468037|8445|51|5|26/12/2020 13:07
61|645205412|43217501171058|7887|16|7|25/12/2020 02:29
62|870080743|58593050311066|3032|74|9|21/12/2020 22:32
63|376533002|55564650150504|8466|29|7|25/12/2020 17:12
64|563515095|96514362624978|7875|32|2|11/12/2020 20:26
65|768169354|45234467979255|4093|83|8|10/12/2020 07:49
66|179681542||6275|87|2|03/12/2020 13:35
67|672059394|21462625634472|8523|57|7|19/12/2020 02:36
68|479226452|17039919826879|1758|77|4|22/12/2020 04:56
69|594968337|88655446894768|6871|91|8|10/12/2020 03:43
70|212449600|24296051122232|4147|42|6|
71|852526036|88623566972849|5773|93|2|31/12/2020 06:35
72|749481290|13505465262650|7751|65|4|06/12/2020 11:23
73|307981288|28004745810677|3948|54|9|20/12/2020 04:23
74|629248496|28845117595902|1190|24|7|14/12/2020 21:54
75|465740306|12394180737310|9411|54|5|23/12/2020 23:49
76|483502409|52680550811270|4749|97|4|30/12/2020 11:49
77|189302249|38106088720594|2969|89|9|31/12/2020 15:32
78|367677888|97378430298787|1958|76|5|24/12/2020 00:37
79||90578006946301|7665|94|6|29/12/2020 19:32
80|667521429|85204151750270|1361|45|9|12/12/2020 10:41
81|927929465|28300853666442|8376|13|3|29/12/2020 22:08
82|942807275|62574546804120|3041|34|2|19/12/2020 19:56
83|840781897|43125330341236|6726|51|5|31/12/2020 11:32
84|441301977|30218996816476|8448|37|5|20/12/2020 03:03
85|429294991||6837|32|6|16/12/2020 10:52
86|571817967|57056887243737|2622|22|7|20/12/2020 02:34
87|234713364|19287562326240|1413|27|8|29/12/2020 08:47
88|688653013|52266198214694|9649|16|9|08/12/2020 22:11
89|398964067|88330880273276|6633|16|4|21/12/2020 11:16
90|507542908|47201257876141|4336|70|6|27/12/2020 05:49
91|722919415|51254990351858|7575||8|23/12/2020 02:38
92|545867122|83263978886697|9260|84|5|10/12/2020 01:12
93|133940837|25809060493442|6408|53|6|16/12/2020 22:29
94|415852388|92397701821080|7779|96|8|28/12/2020 03:28
95|162820224|35481558841903|3945|37|8|29/12/2020 03:55
96|421433379|92500015221487|5491|87|4|01/12/2020 21:25
97|230978423|34042817151282|4349|58|2|03/12/2020 00:01
98|450579861|91464728272911|1680|92|9|08/12/2020 08:11
99|477053185|64372698012387|1342|74|9|08/12/2020 00:18
100|724993174|25165801572134|3873|35|3|21/12/2020 12:42
101|723164205|54841420573216|9991|58|4|17/12/2020 23:22
102|561891853||7662|93|2|06/12/2020 00:02
103|620659710|97712628876752|7731|73|4|26/12/2020 03:41
104|960077615|21760622392748|6987|77|5|12/12/2020 16:17
105|544752331|14016268389902|5563|27|7|24/12/2020 02:11
106|608911993|22287499678170|4281|27|6|01/12/2020 22:04
107|917471850|85811976052878|8397|56|1|12/12/2020 17:17
108|333897000|53543536611227|8533|14|4|09/12/2020 00:48
109|484515485|48148933695208|8338|56|3|24/12/2020 21:47
110|990447596|42706484515265|2674|79|8|27/12/2020 09:14
111|268808809|46918430643741|2146|69|3|23/12/2020 14:01
112|587323314|34441050662147|3407|11|1|30/12/2020 13:00
113|882778448|41709802849082|6684|64|3|26/12/2020 20:57
114|523057139|29848098564671|9695|34|7|12/12/2020 19:52
115|815557090|60806920208070|6281|71|6|24/12/2020 14:39
116|825973495|23452628358263|2447|90|3|15/12/2020 08:04
117|581621542|44542637501777|9380|11|8|16/12/2020 07:23
118|486242786|75087503420311|9358|95|2|26/12/2020 15:53
119|219809368|94940792654749|5746|91|9|26/12/2020 04:29
120|419678480|29613578905479|8411|87|4|03/12/2020 08:32
121|436929718|18867628358242|8241|54|2|16/12/2020 00:00
122|350094943|50128656464951|3868|16|1|13/12/2020 16:08
123|639968393|84340819671017|4028|19|8|21/12/2020 14:50
124|220600298|77147732437941|5293|40|1|04/12/2020 06:12
125|476439085|41382144264974|5258|82|5|05/12/2020 09:51
126|406736105|70381831306398|1689|53|4|17/12/2020 13:46
127|583702382|47826140779409|8084|81|7|21/12/2020 16:21
128|816542034|16266790565511|5858|98|1|06/12/2020 20:56
129|610396754|91005919785327|5351|73|9|06/12/2020 06:55
130|774672117|46230122263350|3481|95|5|07/12/2020 06:45
131|459503865|71827881015742|3786|57|2|22/12/2020 18:46
132|449673030|14688683192120|9363|37|1|31/12/2020 22:54
133|765040357|94964043656388|6110|18|2|08/12/2020 16:27
134|529741634|98740413313579|3125|13|4|07/12/2020 23:46
135|173781296|40114944187328|5816|97|3|23/12/2020 15:06
136|628434964|71361557246779|9672|84|6|03/12/2020 21:12
137|874150507|76606183871390|3882|41|8|16/12/2020 22:53
138|672861278|70553857856481|5614|22|7|03/12/2020 12:45
139|688535301|53010347698415|6193|54|3|10/12/2020 01:51
140|603757252|30603038450855|3321|16|7|20/12/2020 03:18
141|194656445|64624009960908|1330|32|6|17/12/2020 14:41
142|555100435|85735184501224|8547|68|3|06/12/2020 17:28
143|188313928|71550288265746|7333|60|1|17/12/2020 02:27
144|476367636|37529924062999|3289|30|1|28/12/2020 09:02
145|886602000|57471682573982|5585|69|2|14/12/2020 14:19
146|592371488|25728722882415|5175|95|9|06/12/2020 02:23
147|260257882|27771164403927|2057|94|2|10/12/2020 12:55
148|894900670|95752258818368|4071|52|1|27/12/2020 14:07
149|132155355|96865740649891|4311|88|4|02/12/2020 23:43
150|304455898|34082044079927|3947|92|2|19/12/2020 04:07
151|742078743|69559361160903|2291|50|4|12/12/2020 10:13
152|492348985|64248854591664|8708|58|7|04/12/2020 01:40
153|794367154|45230271958433|8060|47|2|16/12/2020 11:09
154|433436188|37671391700773|6625|43|4|26/12/2020 23:17
155|763692653|28995507903082|5690|28|1|17/12/2020 09:30
156|161032516|16315167112685|2515|19|5|27/12/2020 01:07
157|192238094|13233540938420|3879|16|1|16/12/2020 23:42
158|330466528|22741102201227|9307|40|9|13/12/2020 23:12
159|594407592|33033057118688|4171|73|2|10/12/2020 16:13
160|515259678|38181534009607|3129|88|8|04/12/2020 15:15
161|319674951|56991117273132|2669|92|9|20/12/2020 22:34
162|863629125|86164309158981|4928|35|3|04/12/2020 07:21
163|319190610|30027522047804|9330|46|5|29/12/2020 16:13
164|798096770|44111603138880|5036|44|6|03/12/2020 03:02
165|601343212|42604284521197|2205|33|9|19/12/2020 07:15
166|520072674|77443719633319|8890|14|3|10/12/2020 05:30
167|519877277|71101352724194|4620|45|3|29/12/2020 06:09
168|387414607|54393317995354|8478|36|2|09/12/2020 21:08
169|444869449|56998890981382|3699|73|3|05/12/2020 12:38
170|737102706|34237823363687|3000|25|7|12/12/2020 13:09
171|390471336|77776916620930|3327|30|9|09/12/2020 17:54
172|337234218|86297520294726|8030|19|6|15/12/2020 13:10
173|535075452|85687848716790|3124|32|4|16/12/2020 23:37
174|240395731|29484988053251|7226|94|1|30/12/2020 01:22
175|765984453|71003726862564|2502|47|3|29/12/2020 02:01
176|320637933|51242118738809|6705|55|8|25/12/2020 23:42
177|157521447|36555800970105|2573|77|4|17/12/2020 04:39
178|313331800|62362474692559|5183|73|7|01/12/2020 01:15
179|925159528|56857351607654|1400|13|8|19/12/2020 23:13
180|232538613|43480822278668|7894|51|1|18/12/2020 19:12
181|526546897|60807871524102|4512|21|5|17/12/2020 11:47
182|161206340|52509136756657|6798|60|4|31/12/2020 14:59
183|506681145|95657287068759|4129|99|1|04/12/2020 03:55
184|496292487|82337448313549|5851|67|2|09/12/2020 23:12
185|561290770|20760688121675|3019|43|1|15/12/2020 07:38
186|312069905|92529766527052|4273|44|7|26/12/2020 17:49
187|449151452|21680473352523|8187|57|7|13/12/2020 17:48
188|626602078|95040877605778|5401|72|8|11/12/2020 07:13
189|659804892|89757717027645|6174|27|2|31/12/2020 03:38
190|592692834|93798961254997|7330|58|8|16/12/2020 23:05
191|407028832|76528609535338|2118|67|8|02/12/2020 02:26
192|169638671|58440572755153|5721|45|5|30/12/2020 16:13
193|968033196|19551514617142|6298|51|5|17/12/2020 05:02
194|640591202|86865353719707|9812|24|8|31/12/2020 18:27
195|362048129|62407423226847|7392|75|5|20/12/2020 18:51
196|840806394|51870673773450|5465|77|9|06/12/2020 02:33
197|554532520|73225074534566|6852|62|9|06/12/2020 11:45
198|337591756|21928286254651|5205|15|3|08/12/2020 05:59
199|538021075|99444165511793|2892|21|6|22/12/2020 07:00
200|214143525|82323564183319|3974|51|5|09/12/2020 09:55
215|137475595|34825993249153|9204|82|9|25/12/2020 17:16
216||15652863633682|2942|62|2|13/12/2020 06:14
217|367751970|28601840405419|3328|14|8|05/12/2020 23:05
218|175011779|12593502388729|9130|17|4|09/12/2020 16:05
219|795186189|18549025039314|6824|17|5|07/12/2020 23:49
220|281719733|24200151385626|4648|88|7|01/12/2020 19:41
221|581633609|20161963743008|9227|20|4|27/12/2020 15:09
222|485042228||1833|13|2|15/12/2020 05:56
223|380359525|43849096796667|1734|83|9|24/12/2020 15:49
224|957854294|96191773995416|1368|98|4|25/12/2020 13:49
225|325699901|48550835966890|2244|54|9|10/12/2020 11:38
226|151797381|98385544965405|2560|24|3|25/12/2020 02:56
227|533551178|29361437810137|8816|52|3|22/12/2020 22:47
228|311224289|71527497312341|5607|43|4|26/12/2020 03:26
229|201552036|27110303430615||12|1|17/12/2020 03:51
230|729860706||3868|87|6|08/12/2020 22:35
231|623261021|82940729616084|7530|46|1|27/12/2020 03:15
232|482613120|63535118203326|5352|87|3|31/12/2020 12:18
233|324948773|80924339902442|2446|19||01/12/2020 02:16
234|221673055|88671275702204|5710|67|5|13/12/2020 21:39
235|697067929|40045343861457|1304|86|5|09/12/2020 20:21
236|894502786|12836632559472|9543|40|8|13/12/2020 22:58
237|710615784|19790647835581|9127|85|8|06/12/2020 02:37
238|432317309|17332452132714|6925|36|4|17/12/2020 21:39
239|571356082|18127033621310|6720|89|1|05/12/2020 09:43
240|368498369|39692996423371|9107|77|4|
241|372203840|65352736079041|3582|13|1|23/12/2020 08:31
242|574290263|11611846102554|6697|66|2|12/12/2020 00:23
243|304976801|69127365842809||62|1|13/12/2020 16:11
244|383555897|22078521794519|3970|74|9|21/12/2020 22:07
245|922186136|76543842232089|6975|71|2|23/12/2020 02:32
246|852556498|32767700944614|2644|34|9|04/12/2020 18:06
247||63513716361642|8675|44|8|08/12/2020 21:24
248|408540625|80035859053444|1335|62|5|
249|655320996|75073389228195|1116|72|7|12/12/2020 21:25
250|521659695|88306567709636|8359|39|6|04/12/2020 09:36
251|205780774|93365967410151|2683|15|9|31/12/2020 17:04
252|323292918||9641|69|2|03/12/2020 16:13
253|472612037|67833287808941|4972|92|3|06/12/2020 01:16
254|214581239|55145267918647|3834|24|3|04/12/2020 02:40
255|116322813|13396365272428|4544|60|7|31/12/2020 00:21
256|841735203|61210872221405|7582|41|7|04/12/2020 19:30
257|483897486|46273326156916|5896|84|7|19/12/2020 14:50
258|319117560|40731131385458|2740|31|6|03/12/2020 01:36
259|936119427|31517096416669|5453|55|8|04/12/2020 13:57
260|897231071||9105|86|6|21/12/2020 15:47
261|784610253|49966687107838|6334|21|5|23/12/2020 06:13
262|694837528|61979996891611|7053|48|2|04/12/2020 02:05
263|598036092|24358370718723|7145|49|8|20/12/2020 04:32
264|439661724|71236635024104|6788|77|4|
265|658392799|37355997772351|8695|53|8|04/12/2020 23:20
266|373293716|60505842465331|6051|79|9|08/12/2020 18:52
267|167641524|58011335278069|9285|31|4|26/12/2020 11:04
268|815467021|49058046744293|9956|75|6|12/12/2020 00:36
269|335842093|69183995066054|9410|66|5|14/12/2020 21:07
270|289995591|24406886286843|5090|86|1|24/12/2020 08:21
271|341885417|75547488349992|9753|24|6|15/12/2020 22:28
272|438518053|50529971426651|1935|13|7|10/12/2020 01:01
273|649556306|46773848524624|8751|39|9|22/12/2020 06:23
274|262665766|19197081141157|5169|70|3|17/12/2020 06:49
275|758293840|18350587994455|7915|21|1|19/12/2020 23:47
276|582015072|49506402503996|1825|22|1|22/12/2020 07:11
277|148821589|88465133541069|5554|61|6|04/12/2020 21:21
278|873986249|55275059776411|2187|22|4|22/12/2020 03:14
279|309014585|45370351046732|2902|78|6|07/12/2020 08:43
280|558656824|60421311499665|3291|54|9|27/12/2020 21:44
281|117731497|23115616253505|6640|91|3|22/12/2020 10:59
282|194058933|46761363222936|7624|21|8|05/12/2020 20:52
283|486294671|88452559297241|4135|41|2|07/12/2020 12:33
284|685489362|13830633411107|6823|98|5|29/12/2020 19:02
285|505760906|18630012928219|4621|20|5|02/12/2020 00:07
286|187552645|23666730547915|4148|47|5|13/12/2020 17:31
287|348233953|36609039197399|9507|88|2|28/12/2020 10:56
288|422130967|56546639646239|5065|90|3|07/12/2020 06:06
289|468836757|37923473222193|8018|57|3|02/12/2020 17:07
290|299417119|99347324294387|9475|85|9|30/12/2020 10:02
291|737181216|44800845131007|7613|45|6|22/12/2020 17:58
292|669755267|21890786259480|7054|54|4|09/12/2020 05:56
293|342460096|85514332574476|5250|15|6|19/12/2020 10:54
294|252173082|46153949961917|4030|74|8|27/12/2020 01:19
295|994454402|38945857548433|4486|47|5|19/12/2020 17:08
296|396117594|81600757416425|1502|72|8|20/12/2020 12:12
297|177024319|58580541241899|3675|31|7|09/12/2020 20:35
298|655048710|40697626171894|8034|50|3|07/12/2020 21:53
299|603407202|72745484036787|4435|81|4|12/12/2020 07:20
300|885561653|55694494475995|3200|79|6|13/12/2020 05:05
301|523034364|20991798816443|7193|96|4|31/12/2020 09:41
302|374665428|80752671129769|7310|33|6|01/12/2020 15:55
303|527491626|37475068746191|3248|29|9|01/12/2020 05:11
304|144678172|64952602735253|9118|80|8|14/12/2020 08:58
305|785039149|55680144546280|7354|52|9|28/12/2020 15:12
306|936213604|22273348640972|1517|12|2|26/12/2020 15:24
307|525810688|53698418895136|8057|98|3|02/12/2020 13:14
308|833890174|46728981435296|8550|61|6|28/12/2020 11:07
309||38861728549264|6265|13|7|31/12/2020 13:40
310|372975795|19149750834265|4784|95|7|24/12/2020 20:48
311|535868513|63368272218508|7293|45|7|11/12/2020 01:52
312|307037866|12646750496966|1261|84|7|07/12/2020 02:57
313|401603581|99534254089929|4942||8|25/12/2020 19:27
314|327029931|49070133622067|1329|37|1|10/12/2020 20:08
315|729700630|67489993332607|7686|75|9|29/12/2020 10:58
316|942791946||4566|18|3|12/12/2020 09:52
317|684669666|73372680477426|9081|32|9|14/12/2020 21:56
318|244298047|61073367787715|5276|42|4|23/12/2020 12:50
319|521135055|25418484550397|8504|95|7|21/12/2020 19:25
320|652927575|20004724996849|4086|82|3|04/12/2020 01:46
321|673927682|87664499364062|9674|19|5|20/12/2020 06:05
322|260882755|89265184453857|7375|76|6|19/12/2020 21:04
323|432360190|77726108466815|4223|58|1|17/12/2020 08:13
324|311452997|37247158744870|4117|81|2|31/12/2020 20:25
325|777674361|41510769128288|3581|12|5|23/12/2020 02:34
326|837816847|55003151434837|5546|80|5|06/12/2020 09:34
327|234558672|56579506514966|8528|60|1|09/12/2020 03:54
328|163288099|86353189072038|4442|76|3|01/12/2020 20:07
329|888998561|82111260045070|2947|82|4|28/12/2020 07:43
330|175232378|32610441359275|5726|46|4|26/12/2020 12:43
331|449335424|37400706597021|4181|88|7|09/12/2020 03:14
332|262605622|16363495049894|3782|29|9|20/12/2020 10:34
333|818533084|24388507576173|6845|83|7|19/12/2020 04:39
334|975145638|47710753998496|3594|49|4|15/12/2020 19:24
335|529457071|93633575937626|9599|26|5|14/12/2020 00:19
336|730693544|59945638689705|2964|85|7|11/12/2020 13:11
337|345338047|66791966024928|7223|46|6|05/12/2020 00:33
338|203444980|99657691093312|8050|83|8|01/12/2020 05:19
339|987183512|29585784540984|6474|22|1|26/12/2020 12:41
340|952820853|48985438394935|8160|85|2|13/12/2020 18:43
341|778489910|18728238100790|9603|49|9|01/12/2020 07:22
342|369641151|43180462619221|5032|44|7|06/12/2020 12:24
343|997543989|92520546598359|2279|56|4|03/12/2020 15:25
344|530924090|45932874503033|8979|57|7|05/12/2020 10:48
345|947692319|27171784167859|7396|78|8|11/12/2020 02:01
346|927486261|98794632869814|2837|74|9|05/12/2020 09:16
347|328890348|26142477344809|4739|63|5|23/12/2020 00:45
348|981871863|53380130016928|8432|81|2|13/12/2020 13:17
349|811126208|26937138241703|8914|97|6|16/12/2020 00:45
350|425046013|81521995239442|1545|71|7|23/12/2020 11:38
351|236614151|39161292396154|3431|31|8|17/12/2020 18:44
352|889840279|77916667385055|7586|14|7|01/12/2020 06:37
353|218143951|86817697800800|8180|17|4|11/12/2020 22:04
354|738638504|73067502440613|4041|60|4|04/12/2020 04:24
355|466794846|11658531805042|8303|38|6|02/12/2020 08:09
356|829409338|81183617655909|1117|96|2|13/12/2020 17:04
357|752719261|18743765583404|2890|30|7|19/12/2020 19:35
358|652943557|38414085389953|9231|80|1|31/12/2020 17:19
359|226980218|55004778694457|2526|11|7|07/12/2020 08:06
360|244582975|39141708719763|7416|55|8|15/12/2020 01:44
361|529743795|52648543440056|7787|12|8|18/12/2020 19:57
362|423818087|60009089943184|7891|28|6|23/12/2020 20:24
363|458303716|92012096024265|3094|14|4|16/12/2020 08:32
364|401459405|36600885215393|3170|88|1|28/12/2020 17:59
365|662916455|96630956650735|2648|21|8|25/12/2020 22:25
366|927618994|92493711322546|8568|90|8|18/12/2020 23:54
367|664381183|98464108425091|3785|62|8|12/12/2020 06:07
368|654967672|67692975596148|3664|21|4|29/12/2020 09:45
369|430328936|49907544226572|4734|78|7|25/12/2020 09:49
370|446009619|36312976428095|6469|30|8|02/12/2020 00:22
371|479944627|45218587613237|2884|87|9|12/12/2020 14:47
372|626490446|91813420294555|8222|25|9|17/12/2020 17:05
373|803706961|71368225886780|3400|45|9|18/12/2020 22:18
374|831473312|33944513016601|7849|42|8|24/12/2020 07:42
375|650652805|12796966687195|5846|70|5|06/12/2020 06:59
376|377490852|12887651325064|3980|95|3|14/12/2020 14:22
377|766353175|58446465013980|1695|19|5|27/12/2020 05:01
378|658457394|79743257688142|8894|70|8|11/12/2020 03:29
379|711054685|79238385861876|4758|56|1|22/12/2020 10:40
380|452960000|35833104214131|6871|43|1|02/12/2020 12:02
381|226337707|13852219784538|1229|19|9|19/12/2020 22:49
382|443490204|46926581194795|6011|49|4|29/12/2020 07:49
383|493395010|95553776279833|9463|11|4|29/12/2020 06:00
384|166040824|39765258095021|2808|71|2|09/12/2020 21:05
385|524385715|83982059704100|8451|50|3|25/12/2020 05:49
386|326496295|56329011667415|6549|94|9|15/12/2020 23:49
387|562746120|31971380196652|8922|35|1|30/12/2020 08:03
388|464649809|11127172100090|9084|78|9|13/12/2020 05:02
389|113191374|38089559119489|3544|64|8|11/12/2020 19:55
390|123118704|36924277186023|6503|91|2|31/12/2020 14:20
391|628892046|35965027477565|6475|62|3|31/12/2020 09:19
392|794622695|70227009732898|2219|92|8|21/12/2020 11:41
393|959809063|14301522971497|6098|68|3|31/12/2020 01:27
394|739208984|83707251558207|7544|52|7|30/12/2020 15:03
395|964240852|99859525075800|5423|39|4|15/12/2020 07:33
396|490654813|49774177950049|7296|72|4|27/12/2020 10:58
397|426929435|71972459798185|9934|93|5|15/12/2020 17:45
398|958312605|80145440446388|4845|84|1|13/12/2020 22:37
399|716456500|47502916215601|7160|81|4|04/12/2020 15:07
400|840147344|11235179393441|2548|86|3|29/12/2020 01:07
401|713667858|63150047553614|6426|14|3|07/12/2020 01:13
402|527312957|15364441067360|9099|28|2|06/12/2020 02:08
403|891076472|64521288135098|1160|48|5|26/12/2020 02:35
404|866476004|35873040346640|3223|93|1|29/12/2020 18:50
405|636604903|21960878652786|5983|73|3|10/12/2020 07:22
406|417131800|87979675209484|3450|76|1|05/12/2020 12:09
407|739946296|28872225871962|8828|74|1|23/12/2020 07:28
408|967563607|28453166675874|8412|73|8|17/12/2020 17:24
409|585837698|37174813588559|6175|15|7|12/12/2020 07:28
410|530054153|73804829269463|4822|69|9|05/12/2020 16:58
411|263000679|53358147572816|1754|71|8|05/12/2020 16:07
412|728126772|46193584043732|7773|13|2|27/12/2020 03:02
413|922412683|37027028951427|4027|50|9|25/12/2020 11:28
414|345687274|15658649786924|4899|97|8|29/12/2020 19:52
415|959180022|42684936874222|8587|44|8|27/12/2020 01:20
416|380499257|89180965247357|3733|62|1|16/12/2020 13:39
417|587394928|29734349239589|2924|93|7|29/12/2020 09:26
418|693443479|93407734174353|2571|83|4|19/12/2020 18:20
419|242168323|36409979172695|9951|28|3|06/12/2020 11:34
420|507812034|69485685038077|2109|55|9|18/12/2020 19:42
421|517857433|65226844924435|9789|63|4|13/12/2020 08:07
422|233657672|90172833496431|9541|92|6|09/12/2020 12:41
423|416987310|95880374887082|6411|37|8|05/12/2020 02:01
424|505068790|78182101009979|1488|37|1|30/12/2020 22:25
425|525749337|83244941898447|9988|86|9|05/12/2020 04:34
426|456557824|37415284085331|3364|59|7|05/12/2020 14:17
427|519095539|27672196754974|4193|72|9|28/12/2020 09:13
428|521419232|46811106756625|4013|67|8|23/12/2020 14:20
429|581162520|93009480750195|3705|36|2|04/12/2020 05:36
430|959823867|87789500041924|6103|83|4|29/12/2020 11:05
431|535699526|67141338876926|7892|37|3|03/12/2020 01:19
432|506820061|11911578136637|3685|64|2|06/12/2020 02:57
433|753053279|13533458336165|7730|83|7|01/12/2020 11:34
434|683687224|48471767242642|4553|26|8|31/12/2020 14:57
435|376275893|90168747027554|7877|32|3|18/12/2020 11:53
436|657293427|72606984818971|4181|64|6|30/12/2020 13:11
437|923459813|23804851251191|7617|98|6|23/12/2020 18:07
438|341918159|59199076951655|9548|46|7|13/12/2020 18:19
439|424250437|52842205138572|2183|26|4|18/12/2020 01:54
440|676067978|53464832377672|4755|30|1|06/12/2020 21:19
465|180898584|25089195153591|1434|48|6|28/12/2020 14:27
466||26328152068335|9734|30|9|05/12/2020 13:58
467|594123785|82389321560284|7478|17|6|21/12/2020 11:45
468|352481743|75769911276997|3986|35|1|22/12/2020 00:02
469|682614718|60425836041780|1550|32|6|19/12/2020 12:03
470|781117968|89346841690085|5897|55|1|13/12/2020 09:32
471|151889866|15694848505773|1828|90|4|10/12/2020 07:16
472|726715103||5872|86|9|04/12/2020 01:10
473|973885055|30960414445407|8450|65|7|03/12/2020 18:50
474|679816367|50479797501133|7549|45|2|23/12/2020 08:45
475|565665463|92370034517882|1769|45|5|29/12/2020 17:59
476|496671665|85536133659259|7790|44|3|22/12/2020 06:24
477|517365606|25355529804479|8802|41|3|04/12/2020 07:21
478|847406791|79912932122558|7824|64|9|06/12/2020 16:27
479|283740394|83111744280057||25|2|01/12/2020 01:00
480|249271208|60290648282475|2947|22|8|20/12/2020 22:29
481|988228990|25077707431390|8435|76|4|20/12/2020 17:08
